timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,gt_velocity_savgol,lstm_filtered_velocity,traditional_filtered_velocity
34875,546,550,-0.2397,-58173,-0.4663873344421688,0.24273000000000006,0.2232324324324325
34877,546,551,-0.2347,-58180,-0.4654844112212614,0.23603000000000005,0.22335675675675679
34880,547,549,-0.2401,-58186,-0.4653575062723882,0.22872000000000003,0.223472972972973
34882,547,549,-0.2401,-58193,-0.46386809865395306,0.22020000000000003,0.2235891891891892
34885,547,551,-0.2303,-58200,-0.46333785087468415,0.21345000000000006,0.22370540540540546
34887,549,554,-0.207,-58206,-0.46387664787485994,0.21024000000000007,0.22382162162162164
34890,553,557,-0.1762,-58213,-0.46217213715241706,0.2074900000000001,0.22381351351351353
34892,555,559,-0.159,-58220,-0.46387664787485994,0.2052400000000001,0.22281621621621622
34895,555,556,-0.1722,-58226,-0.46333785087468415,0.20241000000000006,0.22181891891891894
34897,551,553,-0.2031,-58233,-0.46386809865395306,0.20006000000000007,0.22082162162162167
34900,550,552,-0.2122,-58240,-0.4653575062723882,0.20058000000000006,0.21982432432432436
34903,550,552,-0.2122,-58246,-0.4666948710951553,0.20582000000000006,0.21870000000000003
34906,549,553,-0.2118,-58253,-0.46793513559239386,0.2131300000000001,0.21756216216216218
34908,549,552,-0.2166,-58260,-0.4679960389872024,0.21977000000000008,0.21640810810810812
34911,548,549,-0.2355,-58266,-0.46806972699676136,0.22283000000000008,0.21515675675675677
34913,545,547,-0.2594,-58273,-0.46942160196510413,0.2223700000000001,0.21390540540540545
34916,545,549,-0.2493,-58280,-0.46888582464387235,0.2214300000000001,0.21265405405405408
34918,547,552,-0.2254,-58286,-0.46785599647409165,0.2200100000000001,0.21140270270270275
34921,550,554,-0.2028,-58294,-0.46778066136692675,0.2164500000000001,0.21003513513513516
34923,551,554,-0.1985,-58300,-0.46565880748443783,0.2128600000000001,0.20867837837837844
34926,550,554,-0.2028,-58307,-0.4630305495213558,0.20959000000000008,0.2073216216216216
34928,550,555,-0.198,-58314,-0.46147263048583753,0.20579000000000008,0.20608648648648648
34931,553,557,-0.1762,-58320,-0.45930438335411605,0.2025200000000001,0.20486486486486483
34933,553,556,-0.1807,-58326,-0.45607391513303097,0.19889000000000007,0.20364324324324323
34936,550,554,-0.2028,-58333,-0.45242222130754345,0.19532000000000008,0.20242162162162158
34938,549,551,-0.2214,-58340,-0.44899029736261376,0.19178000000000006,0.20119999999999993
34941,549,552,-0.2166,-58346,-0.44411579043118804,0.19003000000000006,0.20009729729729725
34944,551,556,-0.1891,-58352,-0.4417154201868643,0.19191000000000005,0.199127027027027
34947,553,559,-0.1671,-58359,-0.44010851960587566,0.20073000000000002,0.19839459459459458
34949,554,559,-0.1631,-58365,-0.4388065673816352,0.21006000000000005,0.19777027027027025
34952,553,555,-0.1853,-58371,-0.4383773023722515,0.21718000000000007,0.19704324324324324
34954,550,551,-0.2168,-58378,-0.43583802689649714,0.22048000000000006,0.19632702702702706
34957,545,546,-0.2644,-58384,-0.4359496373676014,0.22136000000000006,0.19574054054054058
34959,543,546,-0.274,-58390,-0.4366285553141072,0.22219000000000005,0.1953621621621622
34962,543,546,-0.274,-58396,-0.4369467196683126,0.22398000000000007,0.1949837837837838
34964,545,548,-0.2544,-58402,-0.4369957012137831,0.22529000000000007,0.19450270270270273
34967,547,552,-0.2254,-58409,-0.4378867025853527,0.22526000000000007,0.19401351351351354
34969,549,556,-0.1974,-58415,-0.4395830954695952,0.22296000000000005,0.19340810810810813
34971,552,556,-0.185,-58422,-0.44090042060482393,0.21547000000000005,0.19280270270270272
34974,553,557,-0.1762,-58428,-0.4428843104545144,0.20702000000000007,0.1918513513513514
34976,552,556,-0.185,-58434,-0.44430599098805934,0.19815000000000008,0.19090000000000004
34979,551,555,-0.1938,-58440,-0.44507389142189324,0.19256000000000006,0.1900675675675676
34981,552,555,-0.1895,-58447,-0.44502318434559734,0.18897000000000005,0.18923513513513515
34984,552,555,-0.1895,-58454,-0.4462191340739155,0.18599000000000004,0.1884027027027027
34987,553,555,-0.1853,-58460,-0.44628513562798044,0.18334000000000006,0.18757027027027026
34990,551,554,-0.1985,-58466,-0.44628513562798044,0.17994000000000004,0.1866189189189189
34992,552,555,-0.1895,-58472,-0.4450086742000216,0.17652000000000007,0.18566756756756755
34995,554,558,-0.1676,-58479,-0.4434753831953724,0.17307000000000006,0.18460270270270268
